ccaa,provincia,comarca,municipio
Castilla - La Mancha,Albacete,Sierra Alcaraz,Villapalacios
Castilla - La Mancha,Albacete,Mancha,Villarrobledo
Castilla - La Mancha,Albacete,Manchuela,Villatoya
Castilla - La Mancha,Albacete,Manchuela,Villavaliente
Castilla - La Mancha,Albacete,Sierra Alcaraz,Villaverde de Guadalimar
Castilla - La Mancha,Albacete,Sierra Alcaraz,Viveros
Castilla - La Mancha,Albacete,Sierra Segura,Yeste
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Agost
Comunitat Valenciana,Alicante/Alacant,Montaña,Agres
Comunitat Valenciana,Alicante/Alacant,Central,Aigües
Comunitat Valenciana,Alicante/Alacant,Meridional,Albatera
Comunitat Valenciana,Alicante/Alacant,Marquesado,Alcalalí
Comunitat Valenciana,Alicante/Alacant,Montaña,Alcocer de Planes
Comunitat Valenciana,Alicante/Alacant,Montaña,Alcoleja
Comunitat Valenciana,Alicante/Alacant,Montaña,Alcoy/Alcoi
Comunitat Valenciana,Alicante/Alacant,Montaña,Alfafara
Comunitat Valenciana,Alicante/Alacant,Central,l' Alfàs del Pi
Comunitat Valenciana,Alicante/Alacant,Meridional,Algorfa
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Algueña
Comunitat Valenciana,Alicante/Alacant,Central,Alicante/Alacant
Comunitat Valenciana,Alicante/Alacant,Meridional,Almoradí
Comunitat Valenciana,Alicante/Alacant,Montaña,Almudaina
Comunitat Valenciana,Alicante/Alacant,Montaña,l' Alqueria d'Asnar
Comunitat Valenciana,Alicante/Alacant,Central,Altea
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Aspe
Comunitat Valenciana,Alicante/Alacant,Marquesado,l' Atzúbia
Comunitat Valenciana,Alicante/Alacant,Montaña,Balones
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Banyeres de Mariola
Comunitat Valenciana,Alicante/Alacant,Montaña,Benasau
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Beneixama
Comunitat Valenciana,Alicante/Alacant,Meridional,Benejúzar
Comunitat Valenciana,Alicante/Alacant,Meridional,Benferri
Comunitat Valenciana,Alicante/Alacant,Marquesado,Beniarbeig
Comunitat Valenciana,Alicante/Alacant,Montaña,Beniardá
Comunitat Valenciana,Alicante/Alacant,Montaña,Beniarrés
Comunitat Valenciana,Alicante/Alacant,Marquesado,Benidoleig
Comunitat Valenciana,Alicante/Alacant,Central,Benidorm
Comunitat Valenciana,Alicante/Alacant,Montaña,Benifallim
Comunitat Valenciana,Alicante/Alacant,Montaña,Benifato
Comunitat Valenciana,Alicante/Alacant,Marquesado,Benigembla
Comunitat Valenciana,Alicante/Alacant,Meridional,Benijófar
Comunitat Valenciana,Alicante/Alacant,Montaña,Benilloba
Comunitat Valenciana,Alicante/Alacant,Montaña,Benillup
Comunitat Valenciana,Alicante/Alacant,Montaña,Benimantell
Comunitat Valenciana,Alicante/Alacant,Montaña,Benimarfull
Comunitat Valenciana,Alicante/Alacant,Montaña,Benimassot
Comunitat Valenciana,Alicante/Alacant,Marquesado,Benimeli
Comunitat Valenciana,Alicante/Alacant,Marquesado,Benissa
Comunitat Valenciana,Alicante/Alacant,Marquesado,el Benitachell/Poble Nou de Benitatxell
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Biar
Comunitat Valenciana,Alicante/Alacant,Meridional,Bigastro
Comunitat Valenciana,Alicante/Alacant,Central,Bolulla
Comunitat Valenciana,Alicante/Alacant,Central,Busot
Comunitat Valenciana,Alicante/Alacant,Meridional,Callosa de Segura
Comunitat Valenciana,Alicante/Alacant,Central,Callosa d'en Sarrià
Comunitat Valenciana,Alicante/Alacant,Marquesado,Calp
Comunitat Valenciana,Alicante/Alacant,Central,el Campello
Comunitat Valenciana,Alicante/Alacant,Vinalopó,el Campo de Mirra/Camp de Mirra
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Cañada
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Castalla
Comunitat Valenciana,Alicante/Alacant,Montaña,Castell de Castells
Comunitat Valenciana,Alicante/Alacant,Montaña,el Castell de Guadalest
Comunitat Valenciana,Alicante/Alacant,Meridional,Catral
Comunitat Valenciana,Alicante/Alacant,Montaña,Cocentaina
Comunitat Valenciana,Alicante/Alacant,Montaña,Confrides
Comunitat Valenciana,Alicante/Alacant,Meridional,Cox
Comunitat Valenciana,Alicante/Alacant,Meridional,Crevillent
Comunitat Valenciana,Alicante/Alacant,Meridional,Daya Nueva
Comunitat Valenciana,Alicante/Alacant,Meridional,Daya Vieja
Comunitat Valenciana,Alicante/Alacant,Marquesado,Dénia
Comunitat Valenciana,Alicante/Alacant,Meridional,Dolores
Comunitat Valenciana,Alicante/Alacant,Meridional,Elche/Elx
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Elda
Comunitat Valenciana,Alicante/Alacant,Montaña,Facheca
Comunitat Valenciana,Alicante/Alacant,Montaña,Famorca
Comunitat Valenciana,Alicante/Alacant,Central,Finestrat
Comunitat Valenciana,Alicante/Alacant,Vinalopó,el/Hondón de las Nieves Fondó de les Neus
Comunitat Valenciana,Alicante/Alacant,Meridional,Formentera del Segura
Comunitat Valenciana,Alicante/Alacant,Montaña,Gaianes
Comunitat Valenciana,Alicante/Alacant,Marquesado,Gata de Gorgos
Comunitat Valenciana,Alicante/Alacant,Montaña,Gorga
Comunitat Valenciana,Alicante/Alacant,Meridional,Granja de Rocamora
Comunitat Valenciana,Alicante/Alacant,Meridional,Guardamar del Segura
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Hondón de los Frailes
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Ibi
Comunitat Valenciana,Alicante/Alacant,Meridional,Jacarilla
Comunitat Valenciana,Alicante/Alacant,Marquesado,Jávea/Xàbia
Comunitat Valenciana,Alicante/Alacant,Central,Jijona/Xixona
Comunitat Valenciana,Alicante/Alacant,Marquesado,Llíber
Comunitat Valenciana,Alicante/Alacant,Montaña,l' Lorcha/Orxa
Comunitat Valenciana,Alicante/Alacant,Montaña,Millena
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Monforte del Cid
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Monóvar/Monòver
Comunitat Valenciana,Alicante/Alacant,Meridional,Los Montesinos
Comunitat Valenciana,Alicante/Alacant,Marquesado,Murla
Comunitat Valenciana,Alicante/Alacant,Montaña,Muro de Alcoy
Comunitat Valenciana,Alicante/Alacant,Central,Mutxamel
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Novelda
Comunitat Valenciana,Alicante/Alacant,Central,la Nucia
Comunitat Valenciana,Alicante/Alacant,Marquesado,Ondara
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Onil
Comunitat Valenciana,Alicante/Alacant,Marquesado,Orba
Comunitat Valenciana,Alicante/Alacant,Meridional,Orihuela
Comunitat Valenciana,Alicante/Alacant,Central,Orxeta
Comunitat Valenciana,Alicante/Alacant,Marquesado,Parcent
Comunitat Valenciana,Alicante/Alacant,Marquesado,Pedreguer
Comunitat Valenciana,Alicante/Alacant,Marquesado,Pego
Comunitat Valenciana,Alicante/Alacant,Montaña,Penàguila
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Petrer
Comunitat Valenciana,Alicante/Alacant,Meridional,Pilar de la Horadada
Comunitat Valenciana,Alicante/Alacant,Vinalopó,el/Pinoso Pinós
Comunitat Valenciana,Alicante/Alacant,Montaña,Planes
Comunitat Valenciana,Alicante/Alacant,Marquesado,els Poblets
Comunitat Valenciana,Alicante/Alacant,Central,Polop
Comunitat Valenciana,Alicante/Alacant,Montaña,Quatretondeta
Comunitat Valenciana,Alicante/Alacant,Meridional,Rafal
Comunitat Valenciana,Alicante/Alacant,Marquesado,el Ràfol d'Almúnia
Comunitat Valenciana,Alicante/Alacant,Meridional,Redován
Comunitat Valenciana,Alicante/Alacant,Central,Relleu
Comunitat Valenciana,Alicante/Alacant,Meridional,Rojales
Comunitat Valenciana,Alicante/Alacant,Vinalopó,la Romana
Comunitat Valenciana,Alicante/Alacant,Marquesado,Sagra
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Salinas
Comunitat Valenciana,Alicante/Alacant,Meridional,San Fulgencio
Comunitat Valenciana,Alicante/Alacant,Meridional,San Isidro
Comunitat Valenciana,Alicante/Alacant,Meridional,San Miguel de Salinas
Comunitat Valenciana,Alicante/Alacant,Central,San Vicente del Raspeig/Sant Vicent del Raspeig
Comunitat Valenciana,Alicante/Alacant,Marquesado,Sanet y Negrals
Comunitat Valenciana,Alicante/Alacant,Central,Sant Joan d'Alacant
Comunitat Valenciana,Alicante/Alacant,Meridional,Santa Pola
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Sax
Comunitat Valenciana,Alicante/Alacant,Central,Sella
Comunitat Valenciana,Alicante/Alacant,Marquesado,Senija
Comunitat Valenciana,Alicante/Alacant,Central,Tàrbena
Comunitat Valenciana,Alicante/Alacant,Marquesado,Teulada
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Tibi
Comunitat Valenciana,Alicante/Alacant,Montaña,Tollos
Comunitat Valenciana,Alicante/Alacant,Marquesado,Tormos
Comunitat Valenciana,Alicante/Alacant,Montaña,la Torremanzanas/Torre de les Maçanes
Comunitat Valenciana,Alicante/Alacant,Meridional,Torrevieja
Comunitat Valenciana,Alicante/Alacant,Montaña,la Vall d'Alcalà
Comunitat Valenciana,Alicante/Alacant,Marquesado,Vall de Gallinera
Comunitat Valenciana,Alicante/Alacant,Marquesado,la Vall de Laguar
Comunitat Valenciana,Alicante/Alacant,Marquesado,la Vall d'Ebo
Comunitat Valenciana,Alicante/Alacant,Marquesado,el Verger
Comunitat Valenciana,Alicante/Alacant,Central,la Villajoyosa/Vila Joiosa
Comunitat Valenciana,Alicante/Alacant,Vinalopó,Villena
Comunitat Valenciana,Alicante/Alacant,Marquesado,Xaló
Andalucía,Almería,Río Nacimiento,Abla
Andalucía,Almería,Río Nacimiento,Abrucena
Andalucía,Almería,Campo Dalías,Adra
Andalucía,Almería,Alto Almazora,Albanchez
Andalucía,Almería,Río Nacimiento,Alboloduy
Andalucía,Almería,Alto Almazora,Albox
Andalucía,Almería,Alto Andarax,Alcolea
Andalucía,Almería,Alto Almazora,Alcóntar
Andalucía,Almería,Campo Tabernas,Alcudia de Monteagud
Andalucía,Almería,Río Nacimiento,Alhabia
Andalucía,Almería,Alto Andarax,Alhama de Almería
Andalucía,Almería,Alto Andarax,Alicún
Andalucía,Almería,Campo Níjar y Bajo Andarax,Almería
Andalucía,Almería,Alto Andarax,Almócita
Andalucía,Almería,Río Nacimiento,Alsodux
Andalucía,Almería,Bajo Almazora,Antas
Andalucía,Almería,Alto Almazora,Arboleas
Andalucía,Almería,Alto Almazora,Armuña de Almanzora
Andalucía,Almería,Alto Almazora,Bacares
Andalucía,Almería,,Balanegra
Andalucía,Almería,Alto Andarax,Bayárcal
Andalucía,Almería,Alto Almazora,Bayarque
Andalucía,Almería,Bajo Almazora,Bédar
Andalucía,Almería,Alto Andarax,Beires
Andalucía,Almería,Campo Níjar y Bajo Andarax,Benahadux
Andalucía,Almería,Campo Tabernas,Benitagla
Andalucía,Almería,Campo Tabernas,Benizalón
Andalucía,Almería,Alto Andarax,Bentarique
Andalucía,Almería,Campo Dalías,Berja
Andalucía,Almería,Alto Andarax,Canjáyar
Andalucía,Almería,Alto Almazora,Cantoria
Andalucía,Almería,Campo Níjar y Bajo Andarax,Carboneras
Andalucía,Almería,Campo Tabernas,Castro de Filabres
Andalucía,Almería,Alto Almazora,Chercos
Andalucía,Almería,Los Vélez,Chirivel
Andalucía,Almería,Alto Almazora,Cóbdar
Andalucía,Almería,Bajo Almazora,Cuevas del Almanzora
Andalucía,Almería,Campo Dalías,Dalías
Andalucía,Almería,Campo Dalías,El Ejido
Andalucía,Almería,Campo Dalías,Enix
Andalucía,Almería,Campo Dalías,Felix
Andalucía,Almería,Alto Almazora,Fines
Andalucía,Almería,Río Nacimiento,Fiñana
Andalucía,Almería,Alto Andarax,Fondón
Andalucía,Almería,Campo Níjar y Bajo Andarax,Gádor
Andalucía,Almería,Bajo Almazora,Los Gallardos
Andalucía,Almería,Bajo Almazora,Garrucha
Andalucía,Almería,Río Nacimiento,Gérgal
Andalucía,Almería,Alto Andarax,Huécija
Andalucía,Almería,Campo Níjar y Bajo Andarax,Huércal de Almería
Andalucía,Almería,Bajo Almazora,Huércal-Overa
Andalucía,Almería,Alto Andarax,Íllar
Andalucía,Almería,Alto Andarax,Instinción
Andalucía,Almería,Alto Almazora,Laroya
Andalucía,Almería,Alto Andarax,Láujar de Andarax
Andalucía,Almería,Alto Almazora,Líjar
Andalucía,Almería,Campo Tabernas,Lubrín
Andalucía,Almería,Campo Tabernas,Lucainena de las Torres
Andalucía,Almería,Alto Almazora,Lúcar
Andalucía,Almería,Alto Almazora,Macael
Andalucía,Almería,Los Vélez,María
Andalucía,Almería,Bajo Almazora,Mojácar
Andalucía,Almería,Campo Dalías,La Mojonera
Andalucía,Almería,Río Nacimiento,Nacimiento
Andalucía,Almería,Campo Níjar y Bajo Andarax,Níjar
Andalucía,Almería,Alto Andarax,Ohanes
Andalucía,Almería,Campo Tabernas,Olula de Castro
Andalucía,Almería,Alto Almazora,Olula del Río
Andalucía,Almería,Alto Almazora,Oria
Andalucía,Almería,Alto Andarax,Padules
Andalucía,Almería,Alto Almazora,Partaloa
Andalucía,Almería,Alto Andarax,Paterna del Río
Andalucía,Almería,Campo Níjar y Bajo Andarax,Pechina
Andalucía,Almería,Bajo Almazora,Pulpí
Andalucía,Almería,Alto Almazora,Purchena
Andalucía,Almería,Alto Andarax,Rágol
Andalucía,Almería,Campo Níjar y Bajo Andarax,Rioja
Andalucía,Almería,Campo Dalías,Roquetas de Mar
Andalucía,Almería,Río Nacimiento,Santa Cruz de Marchena
Andalucía,Almería,Campo Níjar y Bajo Andarax,Santa Fe de Mondújar
Andalucía,Almería,Campo Tabernas,Senés
Andalucía,Almería,Alto Almazora,Serón
Andalucía,Almería,Alto Almazora,Sierro
Andalucía,Almería,Alto Almazora,Somontín
Andalucía,Almería,Campo Tabernas,Sorbas
Andalucía,Almería,Alto Almazora,Suflí
Andalucía,Almería,Campo Tabernas,Tabernas
Andalucía,Almería,Alto Almazora,Taberno
Andalucía,Almería,Campo Tabernas,Tahal
Andalucía,Almería,Alto Andarax,Terque
Andalucía,Almería,Alto Almazora,Tíjola
Andalucía,Almería,Río Nacimiento,Las Tres Villas
Andalucía,Almería,Bajo Almazora,Turre
Andalucía,Almería,Campo Tabernas,Turrillas
Andalucía,Almería,Campo Tabernas,Uleila del Campo
Andalucía,Almería,Alto Almazora,Urrácal
Andalucía,Almería,Campo Tabernas,Velefique
Andalucía,Almería,Los Vélez,Vélez-Blanco
Andalucía,Almería,Los Vélez,Vélez-Rubio
Andalucía,Almería,Bajo Almazora,Vera
Andalucía,Almería,Campo Níjar y Bajo Andarax,Viator
Andalucía,Almería,Campo Dalías,Vícar
Andalucía,Almería,Alto Almazora,Zurgena
Castilla y León,Ávila,Arévalo-Madrigal,Adanero
Castilla y León,Ávila,Valle del Tiétar,La Adrada
Castilla y León,Ávila,Arévalo-Madrigal,Albornos
Castilla y León,Ávila,Barco Avila-Piedrahita,Aldeanueva de Santa Cruz
Castilla y León,Ávila,Arévalo-Madrigal,Aldeaseca
Castilla y León,Ávila,Barco Avila-Piedrahita,La Aldehuela
Castilla y León,Ávila,Avila,Amavida
Castilla y León,Ávila,Valle del Tiétar,El Arenal
Castilla y León,Ávila,Valle del Tiétar,Arenas de San Pedro
Castilla y León,Ávila,Avila,Arevalillo
Castilla y León,Ávila,Arévalo-Madrigal,Arévalo
Castilla y León,Ávila,Arévalo-Madrigal,Aveinte
Castilla y León,Ávila,Barco Avila-Piedrahita,Avellaneda
Castilla y León,Ávila,Avila,Ávila
Castilla y León,Ávila,Barco Avila-Piedrahita,El Barco de Ávila
Castilla y León,Ávila,Valle Bajo Alberche,El Barraco
Castilla y León,Ávila,Arévalo-Madrigal,Barromán
Castilla y León,Ávila,Barco Avila-Piedrahita,Becedas
Castilla y León,Ávila,Barco Avila-Piedrahita,Becedillas
Castilla y León,Ávila,Arévalo-Madrigal,Bercial de Zapardiel
Castilla y León,Ávila,Arévalo-Madrigal,Las Berlanas
Castilla y León,Ávila,Arévalo-Madrigal,Bernuy-Zapardiel
Castilla y León,Ávila,Avila,Berrocalejo de Aragona
Castilla y León,Ávila,Avila,Blascomillán
Castilla y León,Ávila,Arévalo-Madrigal,Blasconuño de Matacabras
Castilla y León,Ávila,Arévalo-Madrigal,Blascosancho
Castilla y León,Ávila,Arévalo-Madrigal,El Bohodón
Castilla y León,Ávila,Barco Avila-Piedrahita,Bohoyo
Castilla y León,Ávila,Barco Avila-Piedrahita,Bonilla de la Sierra
Castilla y León,Ávila,Avila,Brabos
Castilla y León,Ávila,Avila,Bularros
Castilla y León,Ávila,Valle Bajo Alberche,Burgohondo
Castilla y León,Ávila,Arévalo-Madrigal,Cabezas de Alambre
Castilla y León,Ávila,Arévalo-Madrigal,Cabezas del Pozo
Castilla y León,Ávila,Avila,Cabezas del Villar
Castilla y León,Ávila,Arévalo-Madrigal,Cabizuela
Castilla y León,Ávila,Arévalo-Madrigal,Canales
Castilla y León,Ávila,Valle del Tiétar,Candeleda
Castilla y León,Ávila,Arévalo-Madrigal,Cantiveros
Castilla y León,Ávila,Avila,Cardeñosa
Castilla y León,Ávila,Barco Avila-Piedrahita,La Carrera
Castilla y León,Ávila,Barco Avila-Piedrahita,Casas del Puerto
Castilla y León,Ávila,Avila,Casasola
Castilla y León,Ávila,Valle del Tiétar,Casavieja
Castilla y León,Ávila,Valle del Tiétar,Casillas
Castilla y León,Ávila,Arévalo-Madrigal,Castellanos de Zapardiel
Castilla y León,Ávila,Valle Bajo Alberche,Cebreros
Castilla y León,Ávila,Gredos,Cepeda la Mora
Castilla y León,Ávila,Avila,Chamartín
Castilla y León,Ávila,Avila,Cillán
Castilla y León,Ávila,Arévalo-Madrigal,Cisla
Castilla y León,Ávila,Avila,La Colilla
Castilla y León,Ávila,Arévalo-Madrigal,Collado de Contreras
Castilla y León,Ávila,Barco Avila-Piedrahita,Collado del Mirón
Castilla y León,Ávila,Arévalo-Madrigal,Constanzana
Castilla y León,Ávila,Arévalo-Madrigal,Crespos
Castilla y León,Ávila,Valle del Tiétar,Cuevas del Valle
Castilla y León,Ávila,Avila,Diego del Carpio
Castilla y León,Ávila,Arévalo-Madrigal,Donjimeno
Castilla y León,Ávila,Arévalo-Madrigal,Donvidas
Castilla y León,Ávila,Arévalo-Madrigal,Espinosa de los Caballeros
Castilla y León,Ávila,Arévalo-Madrigal,Flores de Ávila
Castilla y León,Ávila,Arévalo-Madrigal,Fontiveros
Castilla y León,Ávila,Valle del Tiétar,Fresnedilla
Castilla y León,Ávila,Avila,El Fresno
Castilla y León,Ávila,Arévalo-Madrigal,Fuente el Saúz
Castilla y León,Ávila,Arévalo-Madrigal,Fuentes de Año
Castilla y León,Ávila,Avila,Gallegos de Altamiros
Castilla y León,Ávila,Avila,Gallegos de Sobrinos
Castilla y León,Ávila,Gredos,Garganta del Villar
Castilla y León,Ávila,Valle del Tiétar,Gavilanes
Castilla y León,Ávila,Avila,Gemuño
Castilla y León,Ávila,Barco Avila-Piedrahita,Gil García
Castilla y León,Ávila,Barco Avila-Piedrahita,Gilbuena
Castilla y León,Ávila,Arévalo-Madrigal,Gimialcón
Castilla y León,Ávila,Arévalo-Madrigal,Gotarrendura
Castilla y León,Ávila,Avila,Grandes y San Martín
Castilla y León,Ávila,Valle del Tiétar,Guisando
Castilla y León,Ávila,Arévalo-Madrigal,Gutierre-Muñoz
