FUENTE: Ministerio de Agricultura, Pesca y Alimentación				
				
				
Alava				
				
	Comarca 01: Cantábrica			
	051	Montealegre del Castillo		
				
	Comarca 06: Sierra Segura			
				
	011	Ayna		
	017	Bogarra		
	030	Elche de la Sierra		
	031	Férez		
	042	Letur		
	049	Molinicos		
	055	Nerpio		
	072	Socovos		
	086	Yeste		
				
	Comarca 07: Hellín			
				
	004	Albatana		
	037	Hellín		
	044	Liétor		
	056	Ontur		
	074	Tobarra		
				
				
Alicante				
				
				
	Comarca 01: Vinalopó			
				
	002	Agost		
	013	Algueña		
	019	Aspe		
	021	Banyeres de Mariola		
	023	Beneixama		
	043	Biar		
	051	Campo de Mirra/Camp de Mirra		
	052	Cañada		
	053	Castalla		
	066	Elda		
	077	Hondón de las Nieves		
	078	Hondón de los Frailes		
	079	Ibi		
	088	Monforte del Cid		
	089	Monóvar/Monòver		
	093	Novelda		
	096	Onil		
	104	Petrer		
	105	Pinoso		
	114	Romana (la)		
	116	Salinas		
	123	Sax		
	129	Tibi		
	140	Villena		
				
	Comarca 02: Montaña			
				
	003	Agres		
	007	Alcocer de Planes		
	008	Alcoleja		
	009	Alcoy/Alcoi		
	010	Alfafara		
	016	Almudaina		
	017	Alqueria d'Asnar (l')		
	020	Balones		
	022	Benasau		
	027	Beniardá		
	028	Beniarrés		
	032	Benifallim		
	033	Benifato		
	035	Benilloba		
	036	Benillup		
	037	Benimantell		
	038	Benimarfull		
	039	Benimassot		
	054	Castell de Castells		
	056	Cocentaina		
	057	Confrides		
	067	Facheca		
	068	Famorca		
	072	Gaianes		
	073	Gorga		
	075	Guadalest		
	084	Lorcha/Orxa (l')		
	086	Millena		
	092	Muro de Alcoy		
	103	Penàguila		
	106	Planes		
	060	Quatretondeta		
	130	Tollos		
	132	Torremanzanas/Torre de les Ma		
	134	Vall d'Alcalà (la)		
				
	Comarca 03: Marquesado			
				
	001	Adsubia		
	006	Alcalalí		
	026	Beniarbeig		
	029	Benichembla		
	030	Benidoleig		
	040	Benimeli		
	041	Benissa		
	042	Benitachell/Poble Nou de Beni		
	047	Calpe/Calp		
	063	Dénia		
	071	Gata de Gorgos		
	081	Jalón/Xaló		
	082	Jávea/Xàbia		
	085	Llíber		
	091	Murla		
	095	Ondara		
	097	Orba		
	100	Parcent		
	101	Pedreguer		
	102	Pego		
	901	Poblets (els)		
	110	Ráfol de Almunia		
	115	Sagra		
	117	Sanet y Negrals		
	125	Senija		
	128	Teulada		
	131	Tormos		
	135	Vall de Ebo		
	136	Vall de Gallinera		
	137	Vall de Laguart		
	138	Verger (el)		
				
	Comarca 04: Central			
				
	004	Aigües		
	011	Alfàs del Pi (l')		
	014	Alicante/Alacant		
	018	Altea		
	031	Benidorm		
	045	Bolulla		
	046	Busot		
	048	Callosa d'En Sarrià		
	050	Campello (el)		
	069	Finestrat		
	083	Jijona/Xixona		
	090	Mutxamel		
	094	Nucia (la)		
	098	Orxeta		
	107	Polop		
	112	Relleu		
	119	San Juan de Alicante		
	122	San Vicente del Raspeig/Sant		
	124	Sella		
	127	Tárbena		
	139	Villajoyosa/Vila Joiosa (la)		
				
		Comarca 05: Meridional		
				
	005	Albatera		
	012	Algorfa		
	015	Almoradí		
	024	Benejúzar		
	025	Benferri		
	034	Benijófar		
	044	Bigastro		
	049	Callosa de Segura		
	055	Catral		
	058	Cox		
	059	Crevillente		
	061	Daya Nueva		
	062	Daya Vieja		
	064	Dolores		
	065	Elche/Elx		
	070	Formentera del Segura		
	074	Granja de Rocamora		
	076	Guardamar del Segura		
	080	Jacarilla		
	903	Montesinos (Los)		
	099	Orihuela		
	902	Pilar de la Horadada		
	109	Rafal		
	111	Redován		
	113	Rojales		
	118	San Fulgencio		
	904	San Isidro		
	120	San Miguel de Salinas		
	121	Santa Pola		
	133	Torrevieja		
				
				
Almería				
				
				
	Comarca 01: Los Vélez			
				
				
	037	Chirivel		
	063	María		
	098	Vélez-Blanco		
	099	Vélez-Rubio		
				
	Comarca 02: Alto Almazora			
				
	004	Albánchez		
	006	Albox		
	008	Alcóntar		
	017	Arboleas		
	018	Armuña de Almanzora		
	019	Bacares		
	021	Bayarque		
	031	Cantoria		
	036	Chercos		
	034	Cóbdar		
	044	Fines		
	056	Laroya		
	058	Líjar		
	061	Lúcar		
	062	Macael		
	069	Olula del Río		
	070	Oria		
	072	Partaloa		
	076	Purchena		
	083	Serón		
	084	Sierro		
	085	Somontín		
	087	Suflí		
	089	Taberno		
	092	Tíjola		
	096	Urrácal		
	103	Zurgena		
				
	Comarca 03: Bajo Almazora			
				
	016	Antas		
	022	Bédar		
	035	Cuevas del Almanzora		
	048	Gallardos (Los)		
	049	Garrucha		
	053	Huércal-Overa		
	064	Mojácar		
	075	Pulpí		
	093	Turre		
	100	Vera		
				
	Comarca 04: Río Nacimiento			
				
	001	Abla		
	002	Abrucena		
	005	Alboloduy		
	010	Alhabia		
	015	Alsodux		
	045	Fiñana		
	050	Gérgal		
	065	Nacimiento		
	080	Santa Cruz de Marchena		
	901	Tres Villas (Las)		
				
	Comarca 05: Campo Tabernas			
				
	009	Alcudia de Monteagud		
	026	Benitagla		
	027	Benizalón		
	033	Castro de Filabres		
	059	Lubrín		
	060	Lucainena de las Torres		
	068	Olula de Castro		
	082	Senés		
	086	Sorbas		
	088	Tabernas		
	090	Tahal		
	094	Turrillas		
	095	Uleila del Campo		
	097	Velefique		
				
	Comarca 06: Alto Andarax			
				
	007	Alcolea		
	011	Alhama de Almería		
	012	Alicún		
	014	Almócita		
	020	Bayárcal		
	023	Beires		
	028	Bentarique		
	030	Canjáyar		
	046	Fondón		
	051	Huécija		
	054	Illar		
	055	Instinción		
	057	Láujar de Andarax		
	067	Ohanes		
	071	Padules		
	073	Paterna del Río		
	077	Rágol		
	091	Terque		
				
	Comarca 07: Campo Dalías			
				
	003	Adra		
	029	Berja		
	038	Dalías		
	902	Ejido (El)		
	041	Enix		
	043	Felix		
	903	Mojonera (La)		
	079	Roquetas de Mar		
	102	Vícar		
				
	Comarca 08: Campo Níjar y Bajo Andarax			
				
	013	Almería		
	024	Benahadux		
	032	Carboneras		
	047	Gádor		
	052	Huércal de Almería		
	066	Níjar		
	074	Pechina		
	078	Rioja		
	081	Santa Fe de Mondújar		
	101	Viator		
				
				
Avila				
				
				
	Comarca 01: Arévalo-Madrigal			
				
	001	Adanero		
	005	Albornos		
	008	Aldeaseca		
	016	Arévalo		
	017	Aveinte		
	023	Barromán		
	026	Bercial de Zapardiel		
	027	Berlanas (Las)		
	029	Bernuy-Zapardiel		
	034	Blasconuño de Matacabras		
	035	Blascosancho		
	036	Bohodón (El)		
	042	Cabezas de Alambre		
	043	Cabezas del Pozo		
	045	Cabizuela		
	046	Canales		
	048	Cantiveros		
	056	Castellanos de Zapardiel		
	060	Cisla		
	062	Collado de Contreras		
	064	Constanzana		
	065	Crespos		
	069	Donjimeno		
	070	Donvidas		
	072	Espinosa de los Caballeros		
	073	Flores de Ávila		
	074	Fontiveros		
	077	Fuente el Saúz		
	078	Fuentes de Año		
	086	Gimialcón		
	087	Gotarrendura		
	090	Gutierre-Muñoz		
	092	Hernansancho		
	099	Horcajo de las Torres		
	109	Langa		
	114	Madrigal de las Altas Torres		
	117	Mamblas		
	128	Mingorría		
	133	Monsalupe		
	134	Moraleja de Matacabras		
	140	Muñomer del Peco		
	142	Muñosancho		
	149	Narros de Saldueña		
	147	Narros del Castillo		
	152	Nava de Arévalo		
	174	Orbita		
	175	Oso (El)		
	177	Pajares de Adaja		
	178	Palacios de Goda		
	179	Papatrigo		
	183	Pedro-Rodríguez		
	185	Peñalba de Ávila		
	190	Pozanco		
	193	Rasueros		
	194	Riocabado		
	196	Rivilla de Barajas		
	198	Salvadiós		
	208	San Esteban de Zapardiel		
	210	San Juan de la Encinilla		
	219	San Pascual		
	220	San Pedro del Arroyo		
	231	San Vicente de Arévalo		
	204	Sanchidrián		
	229	Santo Domingo de las Posadas		
	230	Santo Tomé de Zabarcos		
	235	Sinlabajos		
	242	Tiñosillos		
	253	Vega de Santa María		
	254	Velayos		
	258	Villanueva de Gómez		
	259	Villanueva del Aceral		
	264	Viñegra de Moraña		
				
	Comarca 02: Avila			
				
	012	Amavida		
	015	Arevalillo		
	019	Ávila		
	030	Berrocalejo de Aragona		
	033	Blascomillán		
	039	Brabos		
	040	Bularros		
	044	Cabezas del Villar		
	049	Cardeñosa		
	053	Casasola		
	067	Chamartín		
	059	Cillán		
	061	Colilla (La)		
	903	Diego del Carpio		
	076	Fresno (El)		
	079	Gallegos de Altamiros		
	080	Gallegos de Sobrinos		
	083	Gemuño		
	088	Grandes y San Martín		
	094	Herreros de Suso		
	096	Hija de Dios (La)		
	107	Hurtumpascual		
	115	Maello		
	118	Mancera de Arriba		
	119	Manjabálago		
	120	Marlín		
	121	Martiherrero		
	122	Martínez		
	123	Mediana de Voltoya		
	125	Mengamuñoz		
	130	Mironcillo		
	131	Mirueña de los Infanzones		
	135	Muñana		
	136	Muñico		
	138	Muñogalindo		
	139	Muñogrande		
	141	Muñopepe		
	143	Muñotello		
	144	Narrillos del Álamo		
	145	Narrillos del Rebollar		
	148	Narros del Puerto		
	172	Niharra		
	173	Ojos-Albos		
	176	Padiernos		
	180	Parral (El)		
	181	Pascualcobo		
	188	Poveda		
	191	Pradosegar		
	195	Riofrío		
	197	Salobral		
	206	San Esteban de los Patos		
	209	San García de Ingelmos		
	213	San Juan del Olmo		
	218	San Miguel de Serrezuela		
	205	Sanchorreja		
	224	Santa María del Arroyo		
	902	Santa María del Cubillo		
	232	Serrada (La)		
	234	Sigeres		
	237	Solana de Rioalmar		
	238	Solosancho		
	239	Sotalbo		
	243	Tolbaños		
	245	Tornadizos de Ávila		
	247	Torre (La)		
	251	Vadillo de la Sierra		
	252	Valdecasa		
	256	Villaflor		
	260	Villanueva del Campillo		
	263	Villatoro		
	265	Vita		
	266	Zapardiel de la Cañada		
				
		Comarca 03: Barco Avila-Piedrahita		
				
	007	Aldeanueva de Santa Cruz		
	010	Aldehuela (La)		
	018	Avellaneda		
	021	Barco de Ávila (El)		
	024	Becedas		
	025	Becedillas		
	037	Bohoyo		
	038	Bonilla de la Sierra		
	051	Carrera (La)		
	052	Casas del Puerto de Villatoro		
	063	Collado del Mirón		
	085	Gil García		
	084	Gilbuena		
	097	Horcajada (La)		
	103	Hoyorredondo		
	108	Junciana		
	113	Llanos de Tormes (Los)		
	112	Losar del Barco (El)		
	116	Malpartida de Corneja		
	124	Medinilla		
	126	Mesegar de Corneja		
	129	Mirón (El)		
	153	Nava del Barco		
	151	Navacepedilla de Corneja		
	155	Navaescurial		
	159	Navalonguilla		
	170	Navatejares		
	171	Neila de San Miguel		
	186	Piedrahíta		
	192	Puerto Castilla		
	199	San Bartolomé de Béjar		
	200	San Bartolomé de Corneja		
	214	San Lorenzo de Tormes		
	217	San Miguel de Corneja		
	226	Santa María de los Caballeros		
	225	Santa María del Berrocal		
	228	Santiago del Collado		
	904	Santiago del Tormes		
	236	Solana de Ávila		
	244	Tormellas		
	246	Tórtoles		
	249	Umbrías		
	257	Villafranca de la Sierra		
	261	Villar de Corneja		
				
	Comarca 04: Gredos			
				
	058	Cepeda la Mora		
	081	Garganta del Villar		
	101	Hoyocasero		
	106	Hoyos de Miguel Muñoz		
	104	Hoyos del Collado		
	105	Hoyos del Espino		
	154	Navadijos		
	157	Navalacruz		
	160	Navalosa		
	162	Navalperal de Tormes		
	164	Navaquesera		
	165	Navarredonda de Gredos		
	166	Navarredondilla		
	167	Navarrevisca		
	169	Navatalgordo		
	901	San Juan de Gredos		
	212	San Juan del Molinillo		
	215	San Martín de la Vega del Alb		
	216	San Martín del Pimpollar		
	233	Serranillos		
	905	Villanueva de Ávila		
	267	Zapardiel de la Ribera		
				
	Comarca 05: Valle Bajo Alberche			
				
	022	Barraco (El)		
	041	Burgohondo		
	057	Cebreros		
	093	Herradón de Pinares		
	102	Hoyo de Pinares (El)		
	158	Navalmoral		
	161	Navalperal de Pinares		
	163	Navaluenga		
	168	Navas del Marqués (Las)		
	184	Peguerinos		
	201	San Bartolomé de Pinares		
	211	San Juan de la Nava		
	222	Santa Cruz de Pinares		
	241	Tiemblo (El)		
				
	Comarca 06: Valle del Tiétar			
				
	002	Adrada (La)		
	013	Arenal (El)		
	014	Arenas de San Pedro		
	047	Candeleda		
	054	Casavieja		
	055	Casillas		
	066	Cuevas del Valle		
	075	Fresnedilla		
	082	Gavilanes		
	089	Guisando		
	095	Higuera de las Dueñas		
	100	Hornillo (El)		
	110	Lanzahíta		
	127	Mijares		
	132	Mombeltrán		
	156	Navahondilla		
	182	Pedro Bernardo		
	187	Piedralaves		
	189	Poyales del Hoyo		
	207	San Esteban del Valle		
	221	Santa Cruz del Valle		
	227	Santa María del Tiétar		
	240	Sotillo de la Adrada		
	262	Villarejo del Valle		
				
				
Badajoz				
				
				
	Comarca 01: Alburquerque			
				
	006	Alburquerque		
	037	Codosera (La)		
	107	Puebla de Obando		
	115	Roca de la Sierra (La)		
	123	San Vicente de Alcántara		
	155	Villar del Rey		
				
	Comarca 02: Mérida			
				
	004	Alange		
	009	Aljucén		
	012	Arroyo de San Serván		
	025	Calamonte		
	031	Carmonita		
	032	Carrascalejo (El)		
	038	Cordobilla de Lácara		
	043	Don Álvaro		
	046	Esparragalejo		
	058	Garrovilla (La)		
	072	Lobón		
	083	Mérida		
	084	Mirandilla		
	088	Montijo		
	090	Nava de Santiago (La)		
	094	Oliva de Mérida		
	103	Puebla de la Calzada		
	119	San Pedro de Mérida		
	132	Torremayor		
	133	Torremejía		
	135	Trujillanos		
	145	Valverde de Mérida		
	151	Villagonzalo		
	162	Zarza (La)		
				
	Comarca 03: Don Benito			
				
	001	Acedera		
	028	Campanario		
	039	Coronada (La)		
	041	Cristina		
	044	Don Benito		
	060	Guareña		
	061	Haba (La)		
	075	Magacela		
	079	Manchita		
	080	Medellín		
	082	Mengabril		
	096	Orellana de la Sierra		
	097	Orellana la Vieja		
	111	Rena		
	120	Santa Amalia		
	138	Valdetorres		
	153	Villanueva de la Serena		
	156	Villar de Rena		
				
	Comarca 04: Puebla Alcocer			
				
	017	Baterno		
	033	Casas de Don Pedro		
	048	Esparragosa de Lares		
	056	Garbayuela		
	057	Garlitos		
	091	Navalvillar de Pela		
	102	Puebla de Alcocer		
	114	Risco		
	118	Sancti-Spíritus		
	125	Siruela		
	127	Talarrubias		
	130	Tamurejo		
				
	Comarca 05: Herrera Duque			
				
	035	Castilblanco		
	051	Fuenlabrada de los Montes		
	062	Helechosa de los Montes		
	063	Herrera del Duque		
	137	Valdecaballeros		
	157	Villarta de los Montes		
				
	Comarca 06: Badajoz			
				
	005	Albuera (La)		
	010	Almendral		
	015	Badajoz		
	040	Corte de Peleas		
	045	Entrín Bajo		
	092	Nogales		
	128	Talavera la Real		
	131	Torre de Miguel Sesmero		
	901	Valdelacalzada		
				
		Comarca 07: Almendralejo		
				
	002	Aceuchal		
	008	Alconera		
	011	Almendralejo		
	049	Feria		
	054	Fuente del Maestre		
	068	Hinojosa del Valle		
	069	Hornachos		
	071	Lapa (La)		
	073	Llera		
	089	Morera (La)		
	098	Palomas		
	099	Parra (La)		
	104	Puebla de la Reina		
	108	Puebla de Sancho Pérez		
	106	Puebla del Prior		
	113	Ribera del Fresno		
	117	Salvatierra de los Barros		
	121	Santa Marta		
	122	Santos de Maimona (Los)		
	126	Solana de los Barros		
	149	Villafranca de los Barros		
	152	Villalba de los Barros		
	158	Zafra		
				
	Comarca 08: Castuera			
				
	018	Benquerencia de la Serena		
	023	Cabeza del Buey		
	030	Capilla		
	036	Castuera		
	047	Esparragosa de la Serena		
	064	Higuera de la Serena		
	078	Malpartida de la Serena		
	087	Monterrubio de la Serena		
	100	Peñalsordo		
	109	Quintana de la Serena		
	146	Valle de la Serena		
	160	Zalamea de la Serena		
	161	Zarza-Capilla		
				
	Comarca 09: Olivenza			
				
	007	Alconchel		
	042	Cheles		
	066	Higuera de Vargas		
	095	Olivenza		
	129	Táliga		
	143	Valverde de Leganés		
	154	Villanueva del Fresno		
				
	Comarca 10: Jerez de los Caballeros			
				
	016	Barcarrota		
	021	Bodonal de la Sierra		
	022	Burguillos del Cerro		
	024	Cabeza la Vaca		
	050	Fregenal de la Sierra		
	055	Fuentes de León		
	067	Higuera la Real		
	070	Jerez de los Caballeros		
	093	Oliva de la Frontera		
	116	Salvaleón		
	124	Segura de León		
	140	Valencia del Mombuey		
	147	Valle de Matamoros		
	148	Valle de Santa Ana		
	142	Valverde de Burguillos		
	159	Zahínos		
				
	Comarca 11: Llerena			
				
	013	Atalaya		
	020	Bienvenida		
	026	Calera de León		
	027	Calzadilla de los Barros		
	034	Casas de Reina		
	052	Fuente de Cantos		
	053	Fuente del Arco		
	065	Higuera de Llerena		
	074	Llerena		
	081	Medina de las Torres		
	085	Monesterio		
	086	Montemolín		
	105	Puebla del Maestre		
	110	Reina		
	134	Trasierra		
	136	Usagre		
	141	Valencia del Ventoso		
	150	Villagarcía de la Torre		
				
	Comarca 12: Azuaga			
				
	003	Ahillones		
	014	Azuaga		
	019	Berlanga		
	029	Campillo de Llerena		
	059	Granja de Torrehermosa		
	076	Maguilla		
	077	Malcocinado		
	101	Peraleda del Zaucejo		
	112	Retamal de Llerena		
	139	Valencia de las Torres		
	144	Valverde de Llerena		
				
				
Illes Balears				
				
				
	Comarca 01: Ibiza			
				
	026	Eivissa		
	024	Formentera		
	048	San José		
	046	Sant Antoni de Portmany		
	050	Sant Joan de Labritja		
	054	Santa Eulalia del Río		
				
	Comarca 02: Mallorca			
				
	001	Alaró		
	003	Alcúdia		
	004	Algaida		
	005	Andraitx		
	901	Ariany		
	006	Artà		
	007	Bañalbufar		
	008	Binissalem		
	009	Búger		
	010	Bunyola		
	011	Calvià		
	012	Campanet		
	013	Campos		
	014	Capdepera		
	016	Consell		
	017	Costitx		
	018	Deyá		
	019	Escorca		
	020	Esporles		
	021	Estellenchs		
	022	Felanitx		
	025	Fornalutx		
	027	Inca		
	028	Lloret de Vista Alegre		
	029	Lloseta		
	030	Llubí		
	031	Llucmajor		
	033	Manacor		
	034	Mancor de la Vall		
	035	María de la Salud		
	036	Marratxí		
	038	Montuïri		
	039	Muro		
	040	Palma de Mallorca		
	041	Petra		
	044	Pobla (Sa)		
	042	Pollença		
	043	Porreres		
	045	Puigpunyent		
	059	Salines (Ses)		
	049	Sant Joan		
	051	Sant Llorenç des Cardassar		
	053	Santa Eugènia		
	055	Santa Margalida		
	056	Santa María del Camí		
	057	Santanyí		
	058	Selva		
	047	Sencelles		
	060	Sineu		
	061	Sóller		
	062	Son Servera		
	063	Valldemosa		
	065	Vilafranca de Bonany		
				
	Comarca 03: Menorca			
				
	002	Alaior		
	064	Castell (Es)		
	015	Ciutadella de Menorca		
	023	Ferreries		
	032	Mahón		
	037	Mercadal (Es)		
	902	Migjorn Gran (Es)		
	052	Sant Lluís		
				
				
Barcelona				
				
				
	Comarca 01: Bergadá			
				
	011	Avià		
	016	Bagà		
	022	Berga		
	024	Borredà		
	045	Capolat		
	049	Casserres		
	057	Castell de l'Areny		
	052	Castellar de n'Hug		
	050	Castellar del Riu		
	268	Cercs		
	078	Espunyola (L')		
	080	Fígols		
	092	Gironella		
	093	Gisclareny		
	099	Guardiola de Berguedà		
	130	Montclar		
	132	Montmajor		
	142	Nou de Berguedà (La)		
	144	Olvan		
	166	Pobla de Lillet (La)		
	175	Puig-reig		
	177	Quar (La)		
	188	Sagàs		
	190	Saldes		
	216	Sant Jaume de Frontanyà		
	903	Sant Julià de Cerdanyola		
	293	Vallcebre		
	299	Vilada		
	308	Viver i Serrateix		
				
	Comarca 02: Bages			
				
	010	Artés		
	012	Avinyó		
	018	Balsareny		
	025	Bruc (El)		
	038	Callús		
	047	Cardona		
	053	Castellbell i el Vilar		
	059	Castellfollit del Boix		
	061	Castellgalí		
	062	Castellnou de Bages		
	084	Fonollosa		
	090	Gaià		
	113	Manresa		
	242	Marganell		
	127	Monistrol de Montserrat		
	139	Mura		
	140	Navarcles		
	141	Navàs		
	182	Pont de Vilomara i Rocafort (		
	178	Rajadell		
	179	Rellinars		
	191	Sallent		
	213	Sant Fruitós de Bages		
	218	Sant Joan de Vilatorrada		
	229	Sant Mateu de Bages		
	098	Sant Salvador de Guardiola		
	262	Sant Vicenç de Castellet		
	192	Santpedor		
	274	Súria		
	277	Talamanca		
				
	Comarca 03: Osona			
				
	014	Aiguafreda		
	004	Alpens		
	017	Balenyà		
	026	Brull (El)		
	037	Calldetenes		
	067	Centelles		
	134	Figaró-Montmany		
	083	Folgueroles		
	100	Gurb		
	109	Lluçà		
	111	Malla		
	112	Manlleu		
	116	Masies de Roda (Les)		
	117	Masies de Voltregà (Les)		
	131	Montesquiu		
	129	Muntanyola		
	149	Olost		
	150	Orís		
	151	Oristà		
	160	Perafita		
	171	Prats de Lluçanès		
	183	Roda de Ter		
	901	Rupit i Pruit		
	195	Sant Agustí de Lluçanès		
	199	Sant Bartomeu del Grau		
	201	Sant Boi de Lluçanès		
	212	Sant Feliu Sasserra		
	215	Sant Hipòlit de Voltregà		
	220	Sant Julià de Vilatorta		
	225	Sant Martí d'Albars		
	224	Sant Martí de Centelles		
	233	Sant Pere de Torelló		
	237	Sant Quirze de Besora		
	241	Sant Sadurní d'Osormort		
	265	Sant Vicenç de Torelló		
	243	Santa Cecília de Voltregà		
	246	Santa Eugènia de Berga		
	247	Santa Eulàlia de Riuprimer		
	253	Santa Maria de Besora		
	254	Santa Maria de Corcó		
	255	Santa Maria de Merlès		
	269	Seva		
	271	Sobremunt		
	272	Sora		
	276	Tagamanent		
	278	Taradell		
	275	Tavèrnoles		
	280	Tavertet		
	283	Tona		
	285	Torelló		
	298	Vic		
	303	Vilanova de Sau		
				
	Comarca 04: Moyanes			
				
	034	Calders		
	055	Castellcir		
	064	Castellterçol		
	070	Collsuspina		
	079	Estany (L')		
	095	Granera		
	138	Moià		
	128	Monistrol de Calders		
	239	Sant Quirze Safaja		
	258	Santa Maria d'Oló		
				
	Comarca 05: Penedés			
				
	013	Avinyonet del Penedès		
	027	Cabanyes (Les)		
	043	Canyelles		
	058	Castellet i la Gornal		
	065	Castellví de la Marca		
	074	Cubelles		
	085	Font-rubí		
	091	Gelida		
	094	Granada (La)		
	122	Mediona		
	145	Olèrdola		
	146	Olesa de Bonesvalls		
	148	Olivella		
	154	Pacs del Penedès		
	164	Pla del Penedès (El)		
	168	Pontons		
	174	Puigdàlber		
	206	Sant Cugat Sesgarrigues		
	208	Sant Esteve Sesrovires		
	222	Sant Llorenç d'Hortons		
	227	Sant Martí Sarroca		
	231	Sant Pere de Ribes		
	232	Sant Pere de Riudebitlles		
	236	Sant Quintí de Mediona		
	240	Sant Sadurní d'Anoia		
	249	Santa Fe del Penedès		
	251	Santa Margarida i els Monjos		
	270	Sitges		
	273	Subirats		
	287	Torrelavit		
	288	Torrelles de Foix		
	305	Vilafranca del Penedès		
	307	Vilanova i la Geltrú		
	304	Vilobí del Penedès		
				
	Comarca 06: Anoia			
				
	002	Aguilar de Segarra		
	008	Argençola		
	021	Bellprat		
	028	Cabrera d'Igualada		
	031	Calaf		
	036	Calonge de Segarra		
	044	Capellades		
	048	Carme		
	060	Castellfollit de Riubregós		
	063	Castellolí		
	069	Collbató		
	071	Copons		
	162	Hostalets de Pierola (Els)		
	102	Igualada		
	103	Jorba		
	104	Llacuna (La)		
	119	Masquefa		
	133	Montmaneu		
	143	Òdena		
	152	Orpí		
	161	Piera		
	165	Pobla de Claramunt (La)		
	170	Prats de Rei (Els)		
	176	Pujalt		
	185	Rubió		
	226	Sant Martí de Tous		
	228	Sant Martí Sesgueioles		
	189	Sant Pere Sallavinera		
	250	Santa Margarida de Montbui		
	257	Santa Maria de Miralles		
	286	Torre de Claramunt (La)		
	292	Vallbona d'Anoia		
	297	Veciana		
	302	Vilanova del Camí		
				
	Comarca 07: Maresme			
				
	003	Alella		
	006	Arenys de Mar		
	007	Arenys de Munt		
	009	Argentona		
	015	Badalona		
	029	Cabrera de Mar		
	030	Cabrils		
	032	Caldes d'Estrac		
	035	Calella		
	040	Canet de Mar		
	075	Dosrius		
	110	Malgrat de Mar		
	118	Masnou (El)		
	121	Mataró		
	126	Montgat		
	153	Òrrius		
	155	Palafolls		
